run_id,cell_id,split,classes,cap,cap_value,seed,model,n_train,n_test,n_classes,own_macro_f1,own_bacc,own_acc,own_defect_f1,own_defect_bacc,gold_defect_f1,gold_defect_bacc,gold_full_macro_f1,gold_full_bacc,gold_none_f1,dup_rate,dup_rate64,dup_rate_defect,lot_share_rate,nn_hamming_mean,nn_hamming_median,nn_hamming_p10,nn_hamming_p25,nn_hamming_p75,nn_hamming_p90,final_loss,train_seconds,n_params
A3-B1-C3-s0,A3-B1-C3,A3,B1,C3,119,0,smallcnn,856,215,9,0.6320851599123181,0.644927536231884,0.6465116279069767,0.6438890506433662,0.6422101449275361,0.6059670868895026,0.6935763683471337,0.4738115781426959,0.6900015995671649,0.7888302923763917,0.009302325581395349,0.009302325581395349,0.010471204188481676,0.0,610.1162790697674,563.0,218.0,356.0,807.0,1131.6,0.00010570180966897169,105.95433068275452,242345
A3-B1-C3-s1,A3-B1-C3,A3,B1,C3,119,1,smallcnn,857,214,9,0.6396235179626584,0.6487520128824477,0.6495327102803738,0.6568723340394524,0.6465126811594203,0.5977189090228321,0.6953569337935185,0.4659020600055167,0.6892915494730567,0.773661709656964,0.004672897196261682,0.004672897196261682,0.005263157894736842,0.0,601.3504672897196,559.5,223.2,360.75,787.75,999.3000000000003,0.00013633393344207435,105.04166030883789,242345
A3-B1-C3-s2,A3-B1-C3,A3,B1,C3,119,2,smallcnn,857,214,9,0.679302978146154,0.6910225442834138,0.6915887850467289,0.6917460000729585,0.6784420289855072,0.6111676974533524,0.6967023878490096,0.4920184544179402,0.6971964165723676,0.8158574329252666,0.014018691588785047,0.014018691588785047,0.015789473684210527,0.0,601.7850467289719,560.0,193.0,322.75,847.0,1147.1000000000004,0.00024350404738652287,105.36519646644592,242345
A3-B2-C1-s0,A3-B2-C1,A3,B2,C1,nan,0,smallcnn,16333,4084,8,0.8193215323656964,0.8099332972801934,0.8775710088148874,0.8193215323656964,0.8099332972801934,0.8310256483745984,0.8309314768796588,nan,nan,nan,0.0053868756121449556,0.005631733594515181,0.0053868756121449556,0.0,415.8371694417238,356.0,55.30000000000001,204.0,581.0,830.0,0.0006160256612638477,105.92476320266724,242216
A3-B2-C1-s1,A3-B2-C1,A3,B2,C1,nan,1,smallcnn,16333,4084,8,0.8243538239280291,0.8255266980291962,0.8726738491674828,0.8243538239280291,0.8255266980291962,0.8382180504313804,0.8354238090672378,nan,nan,nan,0.007100881488736533,0.007100881488736533,0.007100881488736533,0.0,410.7818315377081,362.0,46.0,208.0,572.25,781.0,0.0004119465747717186,106.61738634109497,242216
A3-B2-C1-s2,A3-B2-C1,A3,B2,C1,nan,2,smallcnn,16333,4084,8,0.8267776322464373,0.8263052339313641,0.8704701273261508,0.8267776322464373,0.8263052339313641,0.8190032456923722,0.8188551508028831,nan,nan,nan,0.004407443682664055,0.004897159647404506,0.004407443682664055,0.0,417.78991185112636,356.0,87.30000000000001,209.0,578.0,814.0,0.00046635288449033396,106.10569787025452,242216
A3-B2-C2-s0,A3-B2-C2,A3,B2,C2,5000,0,smallcnn,14138,3535,8,0.8346589918612659,0.8375464799233021,0.8577086280056577,0.8346589918612659,0.8375464799233021,0.8308732308370651,0.8305728638518579,nan,nan,nan,0.0036775106082036777,0.0036775106082036777,0.0036775106082036777,0.0,432.55756718528994,379.0,62.400000000000034,217.0,610.0,835.5999999999999,0.0006109177906109835,105.18461227416992,242216
A3-B2-C2-s1,A3-B2-C2,A3,B2,C2,5000,1,smallcnn,14138,3535,8,0.8218964666361335,0.8267057333455341,0.8517680339462518,0.8218964666361335,0.8267057333455341,0.8255307323190537,0.8267805853641952,nan,nan,nan,0.005091937765205092,0.005374823196605375,0.005091937765205092,0.0,434.59547383309757,386.0,42.0,220.0,609.0,827.0,0.0004674779781125835,105.91197562217712,242216
A3-B2-C2-s2,A3-B2-C2,A3,B2,C2,5000,2,smallcnn,14138,3535,8,0.8314560054936282,0.8308380380215266,0.8543140028288543,0.8314560054936282,0.8308380380215266,0.8236209494008186,0.8233189750283983,nan,nan,nan,0.005091937765205092,0.005091937765205092,0.005091937765205092,0.0,422.26223479490807,376.0,51.400000000000034,205.0,599.5,826.5999999999999,0.00042074232026789103,107.29130578041077,242216
A3-B2-C3-s0,A3-B2-C3,A3,B2,C3,119,0,smallcnn,761,191,8,0.7553357934553953,0.7595108695652174,0.7591623036649214,0.7553357934553953,0.7595108695652174,0.6100786465209189,0.7183971081175196,nan,nan,nan,0.0,0.0,0.0,0.0,616.4607329842931,545.0,191.0,382.0,785.5,1188.0,2.650882210582495e-05,106.29396390914917,242216
A3-B2-C3-s1,A3-B2-C3,A3,B2,C3,119,1,smallcnn,761,191,8,0.7441786788483746,0.754302536231884,0.7539267015706806,0.7441786788483746,0.754302536231884,0.6141152531771523,0.7297318665758454,nan,nan,nan,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.0,626.0523560209424,569.0,222.0,355.0,855.0,1197.0,0.00013966827070180444,103.75791144371033,242216
A3-B2-C3-s2,A3-B2-C3,A3,B2,C3,119,2,smallcnn,761,191,8,0.6689813429973922,0.6734601449275363,0.675392670157068,0.6689813429973922,0.6734601449275363,0.6249187524031022,0.7141308089923949,nan,nan,nan,0.031413612565445025,0.031413612565445025,0.031413612565445025,0.0,604.9162303664922,572.0,190.0,368.0,848.5,1105.0,0.0001180729655752657,102.56826305389404,242216
A4-B1-C1-s0,A4-B1-C1,A4,B1,C1,nan,0,smallcnn,110665,27670,9,0.5348632314539093,0.5088171253465594,0.9625587278641128,0.5130019515263294,0.44878343819527333,0.8219584020099198,0.7708667987616673,0.8287241284393283,0.7956144925017025,0.9855812859207475,0.0,0.0,0.0,0.0,316.75142753885075,317.0,191.0,253.0,365.0,416.0,0.019081372401677073,99.35577201843262,242345
A4-B1-C1-s1,A4-B1-C1,A4,B1,C1,nan,1,smallcnn,110665,27670,9,0.5855826172467986,0.5682490991675364,0.9654860860137333,0.5735564133995378,0.515630149104356,0.8252392037407255,0.774492832580987,0.8300690309768891,0.7987698669275738,0.9864018848872433,0.0,0.0,0.0,0.0,316.75142753885075,317.0,191.0,253.0,365.0,416.0,0.022209992623887957,99.2131736278534,242345
A4-B1-C1-s2,A4-B1-C1,A4,B1,C1,nan,2,smallcnn,110665,27670,9,0.5937478344832898,0.577103825041061,0.963136971449223,0.5877532171835864,0.5259244406341186,0.8294898975110959,0.7807332705077255,0.832496421206605,0.8042303320192459,0.9857936374347753,0.0,0.0,0.0,0.0,316.75142753885075,317.0,191.0,253.0,365.0,416.0,0.018472285429015755,102.55473446846008,242345
A2-B1-C1-s0-resnet18,A2-B1-C1,A2,B1,C1,nan,0,resnet18,110668,27667,9,0.8929104119653738,0.8748318441798528,0.9778074962952253,0.894292242445049,0.8598165489221444,0.88723394377376,0.8528504921100767,0.8871700468093273,0.8686093608058126,0.989884003237119,0.023855134275490658,0.023891278418332308,0.0031839333823169237,0.9843495861495645,377.81089384465247,361.0,144.0,230.0,511.0,641.0,0.0006510618360480294,2024.0761933326721,11173449
